"","Site","Timestamp","Year","Month","Day","tmx","Date","Time"
"199","FORBIO_Zed","1991.10.16",1991,10,16,14.1999998092651,1991-10-16,7958
"200","Gazi_Bay","1991.10.16",1991,10,16,31.1000003814697,1991-10-16,7958
"201","IDENT.auclair","1991.10.16",1991,10,16,10,1991-10-16,7958
"202","IDENT.cloquet","1991.10.16",1991,10,16,11.1000003814697,1991-10-16,7958
"203","IDENT.MAC","1991.10.16",1991,10,16,19.8000011444092,1991-10-16,7958
"204","Kreinitz","1991.10.16",1991,10,16,13.8000001907349,1991-10-16,7958
"205","ORPHEE","1991.10.16",1991,10,16,17.2000007629395,1991-10-16,7958
"206","Parker_caging","1991.10.16",1991,10,16,21.3999996185303,1991-10-16,7958
"207","Ridgefield","1991.10.16",1991,10,16,24.8000011444092,1991-10-16,7958
"208","Sabah","1991.10.16",1991,10,16,29.2000007629395,1991-10-16,7958
"209","Sardinilla","1991.10.16",1991,10,16,29.3999996185303,1991-10-16,7958
"210","Satakunta","1991.10.16",1991,10,16,8.30000019073486,1991-10-16,7958
"211","BangorDIVERSE","1991.11.16",1991,11,16,10.1000003814697,1991-11-16,7989
"212","BEF_China","1991.11.16",1991,11,16,16.8000011444092,1991-11-16,7989
"213","BiodiversiTREE","1991.11.16",1991,11,16,14.1000003814697,1991-11-16,7989
"214","BIOTREE_Kal","1991.11.16",1991,11,16,5.70000028610229,1991-11-16,7989
"215","CM.Hartshorne","1991.11.16",1991,11,16,9.90000057220459,1991-11-16,7989
"216","CM.Hucking","1991.11.16",1991,11,16,9.90000057220459,1991-11-16,7989
"217","CommuniTree","1991.11.16",1991,11,16,13.1000003814697,1991-11-16,7989
"218","FORBIO_Ged","1991.11.16",1991,11,16,8,1991-11-16,7989
"219","FORBIO_Hek","1991.11.16",1991,11,16,8.90000057220459,1991-11-16,7989
"220","FORBIO_Zed","1991.11.16",1991,11,16,9.10000038146973,1991-11-16,7989
"221","Gazi_Bay","1991.11.16",1991,11,16,31.3000011444092,1991-11-16,7989
"222","IDENT.auclair","1991.11.16",1991,11,16,2.70000004768372,1991-11-16,7989
"223","IDENT.cloquet","1991.11.16",1991,11,16,-0.900000035762787,1991-11-16,7989
"224","IDENT.MAC","1991.11.16",1991,11,16,15.4000005722046,1991-11-16,7989
"225","Kreinitz","1991.11.16",1991,11,16,7.40000009536743,1991-11-16,7989
"226","ORPHEE","1991.11.16",1991,11,16,13.1000003814697,1991-11-16,7989
"227","Parker_caging","1991.11.16",1991,11,16,14.3000001907349,1991-11-16,7989
"228","Ridgefield","1991.11.16",1991,11,16,24.6000003814697,1991-11-16,7989
"229","Sabah","1991.11.16",1991,11,16,28.7000007629395,1991-11-16,7989
"230","Sardinilla","1991.11.16",1991,11,16,28.3000011444092,1991-11-16,7989
"231","Satakunta","1991.11.16",1991,11,16,4.80000019073486,1991-11-16,7989
"232","BangorDIVERSE","1991.12.16",1991,12,16,9,1991-12-16,8019
"233","BEF_China","1991.12.16",1991,12,16,11,1991-12-16,8019
"234","BiodiversiTREE","1991.12.16",1991,12,16,10.6000003814697,1991-12-16,8019
"235","BIOTREE_Kal","1991.12.16",1991,12,16,2.60000014305115,1991-12-16,8019
"236","CM.Hartshorne","1991.12.16",1991,12,16,7.90000009536743,1991-12-16,8019
"237","CM.Hucking","1991.12.16",1991,12,16,7.90000009536743,1991-12-16,8019
"238","CommuniTree","1991.12.16",1991,12,16,9.69999980926514,1991-12-16,8019
"239","FORBIO_Ged","1991.12.16",1991,12,16,5.70000028610229,1991-12-16,8019
"240","FORBIO_Hek","1991.12.16",1991,12,16,6.70000028610229,1991-12-16,8019
"241","FORBIO_Zed","1991.12.16",1991,12,16,6.70000028610229,1991-12-16,8019
"242","Gazi_Bay","1991.12.16",1991,12,16,30.7000007629395,1991-12-16,8019
"243","IDENT.auclair","1991.12.16",1991,12,16,-7.40000009536743,1991-12-16,8019
"244","IDENT.cloquet","1991.12.16",1991,12,16,-3,1991-12-16,8019
"245","IDENT.MAC","1991.12.16",1991,12,16,11.8000001907349,1991-12-16,8019
"246","Kreinitz","1991.12.16",1991,12,16,3.60000014305115,1991-12-16,8019
"247","ORPHEE","1991.12.16",1991,12,16,9.69999980926514,1991-12-16,8019
"248","Parker_caging","1991.12.16",1991,12,16,10.8000001907349,1991-12-16,8019
"249","Ridgefield","1991.12.16",1991,12,16,30.7000007629395,1991-12-16,8019
"250","Sabah","1991.12.16",1991,12,16,28.3999996185303,1991-12-16,8019
"251","Sardinilla","1991.12.16",1991,12,16,28.5,1991-12-16,8019
"252","Satakunta","1991.12.16",1991,12,16,1.70000004768372,1991-12-16,8019
"253","BangorDIVERSE","1992.01.16",1992,1,16,7.90000009536743,1992-01-16,8050
"254","BEF_China","1992.01.16",1992,1,16,9.5,1992-01-16,8050
"255","BiodiversiTREE","1992.01.16",1992,1,16,8.30000019073486,1992-01-16,8050
"256","BIOTREE_Kal","1992.01.16",1992,1,16,2.40000009536743,1992-01-16,8050
"257","CM.Hartshorne","1992.01.16",1992,1,16,6.59999990463257,1992-01-16,8050
"258","CM.Hucking","1992.01.16",1992,1,16,6.59999990463257,1992-01-16,8050
"259","CommuniTree","1992.01.16",1992,1,16,8.10000038146973,1992-01-16,8050
"260","FORBIO_Ged","1992.01.16",1992,1,16,4.20000028610229,1992-01-16,8050
"261","FORBIO_Hek","1992.01.16",1992,1,16,6,1992-01-16,8050
"262","FORBIO_Zed","1992.01.16",1992,1,16,5.70000028610229,1992-01-16,8050
"263","Gazi_Bay","1992.01.16",1992,1,16,32.1000022888184,1992-01-16,8050
"264","IDENT.auclair","1992.01.16",1992,1,16,-9.5,1992-01-16,8050
"265","IDENT.cloquet","1992.01.16",1992,1,16,-3.5,1992-01-16,8050
"266","IDENT.MAC","1992.01.16",1992,1,16,12,1992-01-16,8050
"267","Kreinitz","1992.01.16",1992,1,16,4.09999990463257,1992-01-16,8050
"268","ORPHEE","1992.01.16",1992,1,16,8.10000038146973,1992-01-16,8050
"269","Parker_caging","1992.01.16",1992,1,16,8.19999980926514,1992-01-16,8050
"270","Ridgefield","1992.01.16",1992,1,16,33.4000015258789,1992-01-16,8050
"271","Sabah","1992.01.16",1992,1,16,28.2000007629395,1992-01-16,8050
"272","Sardinilla","1992.01.16",1992,1,16,29.1000003814697,1992-01-16,8050
"273","Satakunta","1992.01.16",1992,1,16,1,1992-01-16,8050
"274","BangorDIVERSE","1992.02.15",1992,2,15,9.30000019073486,1992-02-15,8080
"275","BEF_China","1992.02.15",1992,2,15,11.8000001907349,1992-02-15,8080
"276","BiodiversiTREE","1992.02.15",1992,2,15,10.4000005722046,1992-02-15,8080
"277","BIOTREE_Kal","1992.02.15",1992,2,15,4.80000019073486,1992-02-15,8080
"278","CM.Hartshorne","1992.02.15",1992,2,15,8.90000057220459,1992-02-15,8080
"279","CM.Hucking","1992.02.15",1992,2,15,8.90000057220459,1992-02-15,8080
"280","CommuniTree","1992.02.15",1992,2,15,12.1999998092651,1992-02-15,8080
